example_id                                                              | status  | run_time             |
./spec/models/game_spec.rb[1:5:5:1:3:3]                                 | passed  | 0.4817 seconds       |
./spec/models/game_spec.rb[1:5:5:1:4:1]                                 | passed  | 0.52136 seconds      |
./spec/models/game_spec.rb[1:5:5:1:4:2]                                 | passed  | 0.55531 seconds      |
./spec/models/game_spec.rb[1:5:5:1:4:3]                                 | passed  | 0.5659 seconds       |
./spec/models/game_spec.rb[1:5:5:1:5]                                   | passed  | 0.63876 seconds      |
./spec/models/game_spec.rb[1:5:5:2:1]                                   | passed  | 0.06256 seconds      |
./spec/models/game_spec.rb[1:5:5:2:2]                                   | passed  | 0.53278 seconds      |
./spec/models/game_spec.rb[1:5:6:1]                                     | pending | 0.00002 seconds      |
./spec/models/game_spec.rb[1:5:7:1:1]                                   | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:5:7:1:2]                                   | pending | 0 seconds            |
./spec/models/game_spec.rb[1:5:7:1:3]                                   | pending | 0 seconds            |
./spec/models/game_spec.rb[1:5:7:1:4]                                   | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:5:7:2:1]                                   | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:5:8:1:1]                                   | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:5:8:1:2]                                   | pending | 0 seconds            |
./spec/models/game_spec.rb[1:5:8:2:1]                                   | pending | 0 seconds            |
./spec/models/game_spec.rb[1:5:9:1]                                     | pending | 0 seconds            |
./spec/models/game_spec.rb[1:5:9:2]                                     | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:5:10:1:1:1:1]                              | pending | 0.00002 seconds      |
./spec/models/game_spec.rb[1:5:10:1:1:2:1]                              | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:5:10:1:2:1:1]                              | pending | 0.00002 seconds      |
./spec/models/game_spec.rb[1:5:10:1:2:2:1]                              | pending | 0.00001 seconds      |
./spec/models/game_spec.rb[1:5:10:2:1:1]                                | passed  | 0.2398 seconds       |
./spec/models/game_spec.rb[1:5:10:2:1:2]                                | passed  | 0.21693 seconds      |
./spec/models/game_spec.rb[1:5:10:2:2:1]                                | passed  | 0.4008 seconds       |
./spec/models/game_spec.rb[1:5:10:2:2:2]                                | passed  | 0.44952 seconds      |
./spec/models/game_spec.rb[1:5:10:2:3]                                  | passed  | 0.52374 seconds      |
./spec/models/game_spec.rb[1:5:10:2:4]                                  | passed  | 0.60526 seconds      |
./spec/models/game_spec.rb[1:5:11:1:1]                                  | passed  | 0.07783 seconds      |
./spec/models/game_spec.rb[1:5:11:2:1]                                  | passed  | 0.09368 seconds      |
./spec/models/game_spec.rb[1:5:12:1:1]                                  | pending | 0.00001 seconds      |
